Timestamp,AirInj_LR_Louver_New,Inject_V_m3,Out_T,Out_CO2_Avg,Out_PAR
08/25/2019 12:00 AM,0.4,10680,25.700001,,6.8
08/25/2019 12:15 AM,0.4,10680,25.4,,6.3
08/25/2019 12:30 AM,0.4,10680,25.1,,6.6
08/25/2019 12:45 AM,0.4,10680,24.9,,6.7
08/25/2019 1:00 AM,0.4,10680,24.700001,,6.6
08/25/2019 1:15 AM,0.4,10680,24.5,,6.8
08/25/2019 1:30 AM,0.4,10680,24.299999,,6.4
08/25/2019 1:45 AM,0.4,10680,24.200001,,6.7
08/25/2019 2:00 AM,0.4,10680,24.1,,6.4
08/25/2019 2:15 AM,0.4,10680,23.9,,5.9
08/25/2019 2:30 AM,0.4,10680,23.6,,5.7
08/25/2019 2:45 AM,0.4,10680,23.4,,6.1
08/25/2019 3:00 AM,0.4,10680,23.1,,5.7
08/25/2019 3:15 AM,0.4,10680,23,,5.8
08/25/2019 3:30 AM,0.4,10680,22.9,,5.6
08/25/2019 3:45 AM,0.4,10680,22.700001,,5.7
08/25/2019 4:00 AM,0.4,10680,22.700001,,5.6
08/25/2019 4:15 AM,0.4,10680,22.5,,5.8
08/25/2019 4:30 AM,0.4,10680,22.4,,5.7
08/25/2019 4:45 AM,0.4,10680,22.299999,,5.5
08/25/2019 5:00 AM,0.4,10680,22.299999,,5.5
08/25/2019 5:15 AM,0.4,10680,22,,5.3
08/25/2019 5:30 AM,0.4,10680,22.1,,5.4
08/25/2019 5:45 AM,0.4,10680,21.700001,,6.3
08/25/2019 6:00 AM,0.4,10680,21.700001,,15.3
08/25/2019 6:15 AM,0.4,10680,21.700001,,43.3
08/25/2019 6:30 AM,0.4,10680,21.6,,85.4
08/25/2019 6:45 AM,0.4,10680,22,,132.3
08/25/2019 7:00 AM,0.4,10680,22.200001,,197.8
08/25/2019 7:15 AM,0.4,10680,22.299999,,407.4
08/25/2019 7:30 AM,0.4,10680,22.799999,,322.1
08/25/2019 7:45 AM,0.4,10680,23.1,,318.2
08/25/2019 8:00 AM,0.4,10680,23,,346.8
08/25/2019 8:15 AM,0.185,4939.5,23.200001,,643.8
08/25/2019 8:30 AM,0.185,4939.5,23.6,,849.5
08/25/2019 8:45 AM,0.185,4939.5,24,,757.5
08/25/2019 9:00 AM,0.185,4939.5,24.299999,,712.9
08/25/2019 9:15 AM,0.185,4939.5,24.6,,846.0
08/25/2019 9:30 AM,0.185,4939.5,24.799999,,527.3
08/25/2019 9:45 AM,0.185,4939.5,24.700001,,695.1
08/25/2019 10:00 AM,0.185,4939.5,24.9,,746.2
08/25/2019 10:15 AM,0.185,4939.5,25.299999,,581.0
08/25/2019 10:30 AM,0.185,4939.5,25.200001,,1013.1
08/25/2019 10:45 AM,0.185,4939.5,26,,1612.9
08/25/2019 11:00 AM,0.185,4939.5,26.299999,,974.6
08/25/2019 11:15 AM,0.185,4939.5,26.700001,,1730.8
08/25/2019 11:30 AM,0.185,4939.5,27.799999,,1254.9
08/25/2019 11:45 AM,0.185,4939.5,26.700001,,1979.8
08/25/2019 12:00 PM,0.185,4939.5,27.4,,1219.4
08/25/2019 12:15 PM,0.185,4939.5,27.6,,1899.4
08/25/2019 12:30 PM,0.185,4939.5,28.6,,1778.9
08/25/2019 12:45 PM,0.185,4939.5,28.6,,1808.3
08/25/2019 1:00 PM,0.185,4939.5,29.4,,1952.6
08/25/2019 1:15 PM,0.185,4939.5,29,,2130.3
08/25/2019 1:30 PM,0.185,4939.5,29.4,,2086.8
08/25/2019 1:45 PM,0.185,4939.5,30.200001,,2006.1
08/25/2019 2:00 PM,0.185,4939.5,30.6,,1972.0
08/25/2019 2:15 PM,0.185,4939.5,31,,1897.4
08/25/2019 2:30 PM,0.185,4939.5,31,,1821.7
08/25/2019 2:45 PM,0.185,4939.5,31.5,,1636.0
08/25/2019 3:00 PM,0.185,4939.5,31.5,,1703.5
08/25/2019 3:15 PM,0.185,4939.5,32,,1587.9
08/25/2019 3:30 PM,0.185,4939.5,31.700001,,1369.3
08/25/2019 3:45 PM,0.185,4939.5,31.9,,1413.8
08/25/2019 4:00 PM,0.185,4939.5,32,,1312.4
08/25/2019 4:15 PM,0.185,4939.5,31.700001,,1208.4
08/25/2019 4:30 PM,0.185,4939.5,31.700001,,1106.5
08/25/2019 4:45 PM,0.185,4939.5,31.700001,,885.4
08/25/2019 5:00 PM,0.185,4939.5,31.6,,864.7
08/25/2019 5:15 PM,0.185,4939.5,32.099998,,753.3
08/25/2019 5:30 PM,0.185,4939.5,31.4,,617.3
08/25/2019 5:45 PM,0.185,4939.5,31.5,,520.1
08/25/2019 6:00 PM,0.185,4939.5,31.1,,399.7
08/25/2019 6:15 PM,0.185,4939.5,31,,144.4
08/25/2019 6:30 PM,0.185,4939.5,30.700001,,86.8
08/25/2019 6:45 PM,0.185,4939.5,30.299999,,48.6
08/25/2019 7:00 PM,0.185,4939.5,29.9,,21.5
08/25/2019 7:15 PM,0.4,10680,29.700001,,9.6
08/25/2019 7:30 PM,0.4,10680,29.4,,7.9
08/25/2019 7:45 PM,0.4,10680,29.1,,7.5
08/25/2019 8:00 PM,0.4,10680,28.799999,,7.7
08/25/2019 8:15 PM,0.4,10680,28.5,,7.7
08/25/2019 8:30 PM,0.4,10680,28.299999,,7.7
08/25/2019 8:45 PM,0.4,10680,28.299999,,7.5
08/25/2019 9:00 PM,0.4,10680,28.1,,7.5
08/25/2019 9:15 PM,0.4,10680,27.700001,,7.5
08/25/2019 9:30 PM,0.4,10680,27.200001,,7.0
08/25/2019 9:45 PM,0.4,10680,26.9,,7.4
08/25/2019 10:00 PM,0.4,10680,27,,7.4
08/25/2019 10:15 PM,0.4,10680,27.1,,7.4
08/25/2019 10:30 PM,0.4,10680,26,,7.5
08/25/2019 10:45 PM,0.4,10680,26.299999,,7.3
08/25/2019 11:00 PM,0.4,10680,25.6,,7.2
08/25/2019 11:15 PM,0.4,10680,25.4,,7.2
08/25/2019 11:30 PM,0.4,10680,25.200001,,7.2
08/25/2019 11:45 PM,0.4,10680,25,,7.3
08/26/2019 12:00 AM,0.4,10680,24.6,,7.3
08/26/2019 12:15 AM,0.4,10680,24.799999,,7.2
08/26/2019 12:30 AM,0.4,10680,25.1,,6.9
08/26/2019 12:45 AM,0.4,10680,24.6,,6.8
08/26/2019 1:00 AM,0.4,10680,24.4,,7.2
08/26/2019 1:15 AM,0.4,10680,24.6,,7.0
08/26/2019 1:30 AM,0.4,10680,24.799999,,6.7
08/26/2019 1:45 AM,0.4,10680,24.700001,,7.3
08/26/2019 2:00 AM,0.4,10680,24.700001,,6.5
08/26/2019 2:15 AM,0.4,10680,24.6,,6.8
08/26/2019 2:30 AM,0.4,10680,24.299999,,7.3
08/26/2019 2:45 AM,0.4,10680,24.6,,7.2
08/26/2019 3:00 AM,0.4,10680,24.1,,6.7
08/26/2019 3:15 AM,0.4,10680,24.4,,6.6
08/26/2019 3:30 AM,0.4,10680,24.1,,6.5
08/26/2019 3:45 AM,0.4,10680,23.700001,,6.6
08/26/2019 4:00 AM,0.4,10680,24,,6.3
08/26/2019 4:15 AM,0.4,10680,23.799999,,6.3
08/26/2019 4:30 AM,0.4,10680,23.4,,6.1
08/26/2019 4:45 AM,0.4,10680,23.200001,,6.4
08/26/2019 5:00 AM,0.4,10680,23.200001,,6.8
08/26/2019 5:15 AM,0.4,10680,22.700001,,6.4
08/26/2019 5:30 AM,0.4,10680,22.799999,,6.4
08/26/2019 5:45 AM,0.4,10680,23,,7.2
08/26/2019 6:00 AM,0.4,10680,22.700001,,15.3
08/26/2019 6:15 AM,0.4,10680,23.200001,,38.2
08/26/2019 6:30 AM,0.4,10680,23.4,,77.4
08/26/2019 6:45 AM,0.4,10680,23.700001,,199.0
08/26/2019 7:00 AM,0.4,10680,24.5,,304.1
08/26/2019 7:15 AM,0.4,10680,25.200001,,372.1
08/26/2019 7:30 AM,0.4,10680,25.9,,494.9
08/26/2019 7:45 AM,0.4,10680,26.799999,,659.7
08/26/2019 8:00 AM,0.4,10680,27.1,,778.8
08/26/2019 8:15 AM,0.185,4939.5,27.4,,878.9
08/26/2019 8:30 AM,0.185,4939.5,27.5,,984.3
08/26/2019 8:45 AM,0.185,4939.5,27.799999,,1107.2
08/26/2019 9:00 AM,0.185,4939.5,28.1,,1230.0
08/26/2019 9:15 AM,0.185,4939.5,28.299999,,1316.0
08/26/2019 9:30 AM,0.185,4939.5,28.700001,,1410.4
08/26/2019 9:45 AM,0.185,4939.5,29.299999,,1503.4
08/26/2019 10:00 AM,0.185,4939.5,29.5,,1582.2
08/26/2019 10:15 AM,0.185,4939.5,29.9,,1668.1
08/26/2019 10:30 AM,0.185,4939.5,30.4,,1751.9
08/26/2019 10:45 AM,0.185,4939.5,30.9,,1828.5
08/26/2019 11:00 AM,0.185,4939.5,31.200001,,1872.6
08/26/2019 11:15 AM,0.185,4939.5,31.6,,1936.1
08/26/2019 11:30 AM,0.185,4939.5,31.9,,1986.1
08/26/2019 11:45 AM,0.185,4939.5,31.299999,,2033.2
08/26/2019 12:00 PM,0.185,4939.5,32.900002,,2066.5
08/26/2019 12:15 PM,0.185,4939.5,32.900002,,2078.3
08/26/2019 12:30 PM,0.185,4939.5,32.5,,2092.9
08/26/2019 12:45 PM,0.185,4939.5,32.900002,,2100.5
08/26/2019 1:00 PM,0.185,4939.5,33.599998,,2096.7
08/26/2019 1:15 PM,0.185,4939.5,33.799999,,2045.9
08/26/2019 1:30 PM,0.185,4939.5,33.700001,,2010.0
08/26/2019 1:45 PM,0.185,4939.5,33.599998,,1463.8
08/26/2019 2:00 PM,0.185,4939.5,33.700001,,1926.1
